,EventTemplate,Occurrences,Type
0,connection from {} () at {},563,True
1,connection from %s (%s) at %s,226,True
2,session closed for user {},123,True
3,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,80,True
4,N/A (This log message does not contain enough information to determine a specific log template),78,True
5,session opened for user {} by (uid={}),54,True
6,authentication failure; logname= uid= euid= tty= ruser= rhost=,51,True
7,connection from %IP% (%HOSTNAME%) at %DATE%,46,True
8,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=,44,True
9,session opened for user {username} by (uid={uid}),43,True
10,ALERT exited abnormally with [],43,True
11,connection from %IP% (%HOST%) at %TIME% %DATE%,42,True
12,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= %{IP:client_ip}  user=root,42,True
13,authentication failure; logname= uid= euid= tty= ruser= rhost=  user=,41,True
14,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= user=,40,True
15,N/A (There is no clear indication of what type of log this is or what information it is trying to convey),39,True
16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=IP_ADDRESS  user=USERNAME,32,True
17,session opened for user {user} by (uid={uid}),25,True
18,connection from %IP% () at %DATE_TIME%,24,True
19,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,23,True
20,{Action} authentication failed,23,True
21,notify question section contains no SOA,16,True
22,Authentication failed from {IP address}: {Reason},15,True
27,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.205.253  user=root,10,True
30,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<IP address>  user=root,10,True
29,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=p15105218.pureserver.info  user=root,10,True
28,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.9.58.217  user=root,10,True
26,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org,10,True
24,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= %{IP}  user=root,10,True
23,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.214.161.141  user=root,10,True
25,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=zummit.com,10,True
31,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.22.3.51  user=root,9,True
32,{application} startup succeeded,8,True
33,connection from [IP address] ([hostname]) at [timestamp],8,True
34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=  user=,8,True
35,{action}.,7,True
36,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= {IP_ADDRESS}  user=root,7,True
37,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.16.122.48  user=root,5,True
38,authentication failure; logname= uid= euid= tty= ruser= rhost= user=,5,True
40,<function_name> (<module_name>): <error_message>,4,True
43,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= {hostname}  user=root,4,True
45,<Action> from <IP Address>: <Error Message>,4,True
44,{process} shutdown succeeded,4,True
39,creating device node '{device_node}',4,True
42,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=,4,True
41,removing device node '{device_node}',4,True
46,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,3,True
47,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=csnsu.nsuok.edu  user=root,3,True
56,warning: can't get client address: Connection reset by peer,2,True
55,BIOS-e820: {start_address} - {end_address} ({description}),2,True
53,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= %{host}  user=%{user},2,True
57,<Action> failed from <IP Address> (<Hostname>): <Reason>,2,True
54,Authentication failed from {IP address}: Permission denied in replay cache code,2,True
52,<module>: <message>,2,True
50,{service} shutdown succeeded,2,True
49,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=%{HOSTNAME}  user=%{USERNAME},2,True
51,"ANONYMOUS FTP LOGIN FROM <IP_ADDRESS>, (<USERNAME>)",2,True
48,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost= %s  user=%s,2,True
106,{size} LOWMEM available.,1,True
119,Initializing random number generator:  {},1,True
127,CPU: L2 cache: {},1,True
126,NET: Registered protocol family {},1,True
125,PCI: Using configuration type {},1,True
124,"PCI: PCI BIOS revision {revision} entry at {address}, last bus={last_bus}",1,True
123,mtrr: v2.0 ({version}),1,True
122,ACPI: Subsystem revision {},1,True
121,ACPI: Interpreter disabled.,1,True
120,<Application/Service> <Version> (c) <Author>,1,True
117,Checking '{instruction}' instruction... {status}.,1,True
118,"CPU: L1 I cache: {}, L1 D cache: {}",1,True
